d	fi	anom	count
0.045	0.738274	855	1000	
0.005	0.816814	986	1000	
0.035	0.628319	551	1000	
0.015	1.00531	1000	1000	
0.025	1.19381	1000	1000	
0.02	0.267035	0	1000	
0.015	1.08385	1000	1000	
0.005	0.895354	1000	1000	
0.01	0.15708	0	1000	
0.04	0.722566	854	1000	
0.005	0.0628319	0	1000	
0.04	1.55509	1000	1000	
0	0.722566	833	1000	
0.01	0.911062	1000	1000	
0.02	0.345575	1	1000	
0.035	1.46084	1000	1000	
0.025	1.27235	1000	1000	
0	1.55509	1000	1000	
0.025	0.361283	3	1000	
0.015	0.251327	0	1000	
0.045	0.816814	984	1000	
0.035	0.549779	335	1000	
0.015	0.172788	0	1000	
0.04	1.47655	1000	1000	
0.03	0.534071	298	1000	
0.035	1.3823	1000	1000	
0.025	0.439823	78	1000	
0.02	1.1781	1000	1000	
0.03	0.455531	116	1000	
0.03	1.36659	1000	1000	
0.04	0.644026	588	1000	
0	0.801106	979	1000	
0.03	1.28805	1000	1000	
0.01	0.0785398	0	1000	
0.02	1.09956	1000	1000	
0.01	0.989602	1000	1000	
0.025	0.15708	0	1000	
0	0.518363	241	1000	
0.015	1.33518	1000	1000	
0.04	1.27235	1000	1000	
0.025	0.455531	91	1000	
0.01	0.706858	777	1000	
0.01	1.44513	1000	1000	
0	1.25664	1000	1000	
0	1.05243	1000	1000	
0.045	1.06814	1000	1000	
0.02	0.895354	999	1000	
0.005	0.314159	0	1000	
0.02	1.19381	1000	1000	
0.005	0.518363	230	1000	
0.005	0.612611	492	1000	
0.03	0.549779	324	1000	
0.035	1.08385	1000	1000	
0.015	0.801106	975	1000	
0.02	1.42942	1000	1000	
0.04	0.345575	1	1000	
0.015	0.502655	184	1000	
0.02	0.361283	6	1000	
0.025	0.989602	1000	1000	
0.005	0.911062	998	1000	
0.04	1.1781	1000	1000	
0.04	0.439823	85	1000	
0.01	1.24093	1000	1000	
0.03	1.08385	1000	1000	
0.04	0.738274	861	1000	
0.04	0.973894	1000	1000	
0.03	1.3823	1000	1000	
0	1.35088	1000	1000	
0.03	0.989602	999	1000	
0.045	1.36659	1000	1000	
0.025	0.0628319	0	1000	
0.02	0.0628319	0	1000	
0.015	0.706858	800	1000	
0.02	0.596903	455	1000	
0.035	0.251327	0	1000	
0.01	0.408407	46	1000	
0.005	1.35088	1000	1000	
0.045	0.439823	99	1000	
0.01	0.172788	0	1000	
0.025	1.28805	1000	1000	
0	0.424115	42	1000	
0.025	1.52367	1000	1000	
0.03	0.785398	959	1000	
0.035	1.1781	1000	1000	
0.035	1.47655	1000	1000	
0.045	0	0	1000	
0.045	0.235619	0	1000	
0.03	0.251327	0	1000	
0.015	1.53938	1000	1000	
0.01	0.612611	490	1000	
0.045	0.832522	996	1000	
0.015	0.267035	0	1000	
0.005	1.44513	1000	1000	
0.045	1.27235	1000	1000	
0.025	0.895354	1000	1000	
0.005	1.14668	1000	1000	
0.01	1.00531	1000	1000	
0.04	0.141372	0	1000	
0.035	0.345575	1	1000	
0.03	0.15708	0	1000	
0.045	0.534071	284	1000	
0.015	1.09956	1000	1000	
0.025	0.69115	747	1000	
0.005	0.0785398	0	1000	
0.035	0.879646	999	1000	
0.035	0.644026	627	1000	
0.035	0.0471239	0	1000	
0	0.816814	984	1000	
0.01	1.53938	1000	1000	
0.02	0.801106	970	1000	
0	0.219911	0	1000	
0.01	0.84823	992	1000	
0.01	0.015708	0	1000	
0.03	0.392699	22	1000	
0.025	1.33518	1000	1000	
0.015	0.109956	0	1000	
0.025	1.13097	1000	1000	
0.015	0.942478	1000	1000	
0.035	1.31947	1000	1000	
0	1.49226	1000	1000	
0.025	0.298451	0	1000	
0.045	0.0471239	0	1000	
0.01	0.219911	0	1000	
0.035	0.69115	753	1000	
0.04	1.41372	1000	1000	
0.045	1.50796	1000	1000	
0.045	0.675442	708	1000	
0.005	0.753982	910	1000	
0.035	0.486947	166	1000	
0.04	0.581195	414	1000	
0.02	0.204204	0	1000	
0.03	1.22522	1000	1000	
0	0.659734	653	1000	
0.035	1.33518	1000	1000	
0.02	1.03673	1000	1000	
0.02	1.05243	1000	1000	
0.03	1.44513	1000	1000	
0.01	0.0314159	0	1000	
0	0.895354	998	1000	
0	0.675442	692	1000	
0.035	0.502655	220	1000	
0.005	0.76969	931	1000	
0.015	0.314159	0	1000	
0.015	0.958186	1000	1000	
0.015	0.125664	0	1000	
0	1.50796	1000	1000	
0.015	0.329867	1	1000	
0.03	0.596903	457	1000	
0.025	1.14668	1000	1000	
